year,state,population,State,Abbrev,Code
1974,VT,473148,Vermont,Vt.,VT
1974,WA,3547959,Washington,Wash.,WA
1974,WI,4538220,Wisconsin,Wis.,WI
1974,WV,1814115,West Virginia,W.Va.,WV
1974,WY,364575,Wyoming,Wyo.,WY
1975,AK,370866,Alaska,Alaska,AK
1975,AL,3680495,Alabama,Ala.,AL
1975,AR,2158257,Arkansas,Ark.,AR
1975,AZ,2286342,Arizona,Ariz.,AZ
1975,CA,21536811,California,Calif.,CA
1975,CO,2586243,Colorado,Colo.,CO
1975,CT,3084745,Connecticut,Conn.,CT
1975,DC,710304,District of Columbia,D.C.,DC
1975,DE,588737,Delaware,Del.,DE
1975,FL,8541584,Florida,Fla.,FL
1975,GA,5058099,Georgia,Ga.,GA
1975,HI,884406,Hawaii,Hawaii,HI
1975,IA,2881482,Iowa,Iowa,IA
1975,ID,832061,Idaho,Idaho,ID
1975,IL,11306443,Illinois,Ill.,IL
1975,IN,5351155,Indiana,Ind.,IN
1975,KS,2278947,Kansas,Kans.,KS
1975,KY,3468957,Kentucky,Ky.,KY
1975,LA,3886835,Louisiana,La.,LA
1975,MA,5762168,Massachusetts,Mass.,MA
1975,MD,4157172,Maryland,Md.,MD
1975,ME,1073287,Maine,Maine,ME
1975,MI,9107933,Michigan,Mich.,MI
1975,MN,3925808,Minnesota,Minn.,MN
1975,MO,4795560,Missouri,Mo.,MO
1975,MS,2399711,Mississippi,Miss.,MS
1975,MT,749209,Montana,Mont.,MT
1975,NC,5535035,North Carolina,N.C.,NC
1975,ND,638605,North Dakota,N.D.,ND
1975,NE,1541653,Nebraska,Nebr.,NE
1975,NH,830038,New Hampshire,N.H.,NH
1975,NJ,7341399,New Jersey,N.J.,NJ
1975,NM,1162743,New Mexico,N.M.,NM
1975,NV,619877,Nevada,Nev.,NV
1975,NY,18032337,New York,N.Y.,NY
1975,OH,10770620,Ohio,Ohio,OH
1975,OK,2771958,Oklahoma,Okla.,OK
1975,OR,2324646,Oregon,Ore.,OR
1975,PA,11897884,Pennsylvania,Pa.,PA
1975,RI,946352,Rhode Island,R.I.,RI
1975,SC,2900130,South Carolina,S.C.,SC
